imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords
tt10942302,The Get Together,2020,4297,"A Friday night house party is shown through the eyes of a post-grad misfit, her slacker Uber passenger, his long lost love, and her neurotic boyfriend struggling to propose.",-,0,9.4,2021-04-29T11:27:37.779647+03:00,https://www.youtube.com/embed/Zn6O5jf-Dls,"https://m.media-amazon.com/images/M/MV5BNWUzZmMwZGYtZDA2OC00N2MwLTg5MTEtZTVlN2QzZGUyNTkwXkEyXkFqcGdeQXVyODY4MjI3NDA@._V1_UX182_CR0,0,182,268_AL_.jpg",,"A Friday night house party is shown through the eyes of a post-grad misfit, her slacker Uber passenger, his long lost love, and her neurotic boyfriend struggling to propose.",https://m.media-amazon.com/images/M/MV5BNWUzZmMwZGYtZDA2OC00N2MwLTg5MTEtZTVlN2QzZGUyNTkwXkEyXkFqcGdeQXVyODY4MjI3NDA@._V1_.jpg,movie,{},"[{'id': 9, 'genre': 'Comedy'}]",[]
tt0111161,The Shawshank Redemption,1994,55,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",R,142,9.3,2021-04-27T22:22:26.395665+03:00,https://www.youtube.com/embed/NmzuHjWmXOc,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",1995-03-02,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}]","[{'id': 37, 'keyword': 'wrongful imprisonment'}, {'id': 38, 'keyword': 'based on the works of stephen king'}, {'id': 39, 'keyword': 'prison'}, {'id': 40, 'keyword': 'escape from prison'}, {'id': 41, 'keyword': 'voice over narration'}]"
tt0068646,The Godfather,1972,37,"The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.",R,175,9.2,2021-04-23T14:29:02.117266+03:00,https://www.youtube.com/embed/fB_8VCwXydM,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",1972-09-28,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}]","[{'id': 528, 'keyword': 'crime family'}, {'id': 529, 'keyword': 'mafia'}, {'id': 530, 'keyword': 'patriarch'}, {'id': 531, 'keyword': 'organized crime'}, {'id': 532, 'keyword': 'rise to power'}]"
tt5773402,Dominion,2018,0,"Dominion uses drones, hidden and handheld cameras to expose the dark underbelly of modern animal agriculture, questioning the morality and validity of humankind's dominion over the animal kingdom. While mainly focusing on animals used for food, it also explores other ways animals are exploited and abused by humans, including clothing, entertainment and research.",-,120,9.1,2021-04-29T11:31:59.683560+03:00,https://www.youtube.com/embed/fgMWqAuQDKs,"https://m.media-amazon.com/images/M/MV5BOWMyNzExNzctOWNjNy00MzMxLWJlYWMtYjJiYmM0Mjg0YWZmXkEyXkFqcGdeQXVyNTU5NjAwMTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",2018-06-10,"Dominion uses drones, hidden and handheld cameras to expose the dark underbelly of modern animal agriculture, questioning the morality and validity of humankind's dominion over the animal kingdom.",https://m.media-amazon.com/images/M/MV5BOWMyNzExNzctOWNjNy00MzMxLWJlYWMtYjJiYmM0Mjg0YWZmXkEyXkFqcGdeQXVyNTU5NjAwMTQ@._V1_.jpg,movie,{},"[{'id': 33, 'genre': 'Documentary'}]","[{'id': 75, 'keyword': 'pig'}, {'id': 2447, 'keyword': 'ethics'}, {'id': 2560, 'keyword': 'animal'}, {'id': 5093, 'keyword': 'farm'}, {'id': 10475, 'keyword': 'philosophy'}]"
tt0468569,The Dark Knight,2008,68,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.",PG-13,152,9.0,2021-04-27T22:22:28.867424+03:00,https://www.youtube.com/embed/EXeTwQWrcwY,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2008-07-24,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 22, 'keyword': 'dc comics'}, {'id': 23, 'keyword': 'joker'}, {'id': 24, 'keyword': 'psychopath'}, {'id': 25, 'keyword': 'clown'}, {'id': 26, 'keyword': 'criminal mastermind'}]"
tt0071562,The Godfather: Part II,1974,144,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.",R,202,9.0,2021-04-29T11:25:13.581880+03:00,https://www.youtube.com/embed/9O1Iy9od7-A,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",1975-07-17,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}]","[{'id': 444, 'keyword': 'revenge'}, {'id': 529, 'keyword': 'mafia'}, {'id': 1581, 'keyword': '1950s'}, {'id': 1869, 'keyword': 'corrupt politician'}, {'id': 1870, 'keyword': 'bloody body of child'}]"
tt11989890,David Attenborough: A Life on Our Planet,2020,4308,"One man has seen more of the natural world than any other. This unique feature documentary is his witness statement. In his 93 years, David Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Now, for the first time he reflects upon both the defining moments of his lifetime as a naturalist and the devastating changes he has seen. Honest, revealing and urgent, DAVID ATTENBOROUGH: A LIFE ON OUR PLANET is a powerful first-hand account of humanity's impact on nature and a message of hope for future generations. Created by award-winning natural history filmmakers Silverback Films and global conservation organization WWF, the film is Directed by Alastair Fothergill, Jonnie Hughes and Keith Scholey and Executive Produced by Colin Butfield. Celebrated British naturalist Sir David Attenborough has a broadcasting career spanning over eight decades. He has visited every continent on the ...",PG,83,9.0,2021-04-29T11:27:13.822414+03:00,https://www.youtube.com/embed/64R2MYUt394,"https://m.media-amazon.com/images/M/MV5BY2FkMjE0ZDgtNWQxZS00NmZiLWEwMDYtMjE5M2RmOTZiODk5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UX182_CR0,0,182,268_AL_.jpg",2020-10-04,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,https://m.media-amazon.com/images/M/MV5BY2FkMjE0ZDgtNWQxZS00NmZiLWEwMDYtMjE5M2RmOTZiODk5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_.jpg,movie,{},"[{'id': 27, 'genre': 'Biography'}, {'id': 33, 'genre': 'Documentary'}]","[{'id': 1752, 'keyword': 'nature'}, {'id': 2734, 'keyword': 'earth'}, {'id': 8122, 'keyword': 'witness'}, {'id': 9333, 'keyword': 'biodiversity'}, {'id': 9337, 'keyword': 'life on earth'}]"
tt3396910,Banshee,2013,0,no description,-,0,9.0,2021-04-29T11:34:24.845214+03:00,https://www.youtube.com/embed/VI7haj7HTCA,"https://m.media-amazon.com/images/M/MV5BMjAxZjAwNWUtYmJmYy00MTMzLTg1ZDYtMTUyN2Q1NWNmNzA1XkEyXkFqcGdeQXVyMzk0NjQxNzA@._V1_UX182_CR0,0,182,268_AL_.jpg",2013-09-23,Add a Plot »,https://m.media-amazon.com/images/M/MV5BMjAxZjAwNWUtYmJmYy00MTMzLTg1ZDYtMTUyN2Q1NWNmNzA1XkEyXkFqcGdeQXVyMzk0NjQxNzA@._V1_.jpg,movie,{},"[{'id': 13, 'genre': 'Action'}]",[]
tt7391996,C/o Kancharapalem,2018,0,Four unconventional love stories set in the town and including the people of Kancherapalem.,-,152,9.0,2021-04-29T11:34:32.581411+03:00,https://www.youtube.com/embed/SPG3L0s5dw0,"https://m.media-amazon.com/images/M/MV5BZTBkYjMxMTQtNDI0My00Mjc5LTk3MGEtZDNjMmYwZGZlZTE3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",2018-09-07,Four unconventional love stories set in the town and including the people of Kancherapalem.,https://m.media-amazon.com/images/M/MV5BZTBkYjMxMTQtNDI0My00Mjc5LTk3MGEtZDNjMmYwZGZlZTE3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}]","[{'id': 526, 'keyword': 'love'}]"
tt0110912,Pulp Fiction,1994,74,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",R,154,8.9,2021-04-27T22:22:30.058843+03:00,https://www.youtube.com/embed/s7EdQ4FqbhY,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",1994-12-01,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}]","[{'id': 592, 'keyword': 'nonlinear timeline'}, {'id': 2761, 'keyword': 'overdose'}, {'id': 2762, 'keyword': 'drug use'}, {'id': 2763, 'keyword': 'drug overdose'}, {'id': 2764, 'keyword': 'bondage'}]"
